date,hr_of_day,vals
5/1/2014,0,72
5/1/2014,1,127
5/1/2014,2,277
5/1/2014,3,411
5/1/2014,4,666
5/1/2014,5,912
5/1/2014,6,1164
5/1/2014,7,1119
5/1/2014,8,951
5/1/2014,9,929
5/1/2014,10,942
5/1/2014,11,968
5/1/2014,12,856
5/1/2014,13,835
5/1/2014,14,885
5/1/2014,15,945
5/1/2014,16,924
5/1/2014,17,914
5/1/2014,18,744
5/1/2014,19,377
5/1/2014,20,219
5/1/2014,21,106
5/1/2014,22,56
5/1/2014,23,43
5/2/2014,0,61
5/2/2014,1,136
5/2/2014,2,272
5/2/2014,3,385
5/2/2014,4,590
5/2/2014,5,869
5/2/2014,6,1019
5/2/2014,7,961
5/2/2014,8,931
5/2/2014,9,980
5/2/2014,10,1055
5/2/2014,11,1007
5/2/2014,12,896
5/2/2014,13,839
5/2/2014,14,827
5/2/2014,15,832
5/2/2014,16,846
5/2/2014,17,820
5/2/2014,18,675
5/2/2014,19,433
5/2/2014,20,242
5/2/2014,21,112
5/2/2014,22,80
5/2/2014,23,43
5/3/2014,0,49
5/3/2014,1,158
5/3/2014,2,243
5/3/2014,3,395
5/3/2014,4,612
5/3/2014,5,860
5/3/2014,6,979
5/3/2014,7,1027
5/3/2014,8,945
5/3/2014,9,1023
5/3/2014,10,996
5/3/2014,11,912
5/3/2014,12,672
5/3/2014,13,615
5/3/2014,14,633
5/3/2014,15,580
5/3/2014,16,614
5/3/2014,17,552
5/3/2014,18,465
5/3/2014,19,315
5/3/2014,20,181
5/3/2014,21,78
5/3/2014,22,51
5/3/2014,23,30
5/4/2014,0,48
5/4/2014,1,106
5/4/2014,2,251
5/4/2014,3,372
5/4/2014,4,564
5/4/2014,5,800
5/4/2014,6,985
5/4/2014,7,997
5/4/2014,8,918
5/4/2014,9,849
5/4/2014,10,769
5/4/2014,11,851
5/4/2014,12,850
5/4/2014,13,840
5/4/2014,14,916
5/4/2014,15,917
5/4/2014,16,862
5/4/2014,17,921
5/4/2014,18,660
5/4/2014,19,408
5/4/2014,20,216
5/4/2014,21,114
5/4/2014,22,49
5/4/2014,23,45
5/5/2014,0,53
5/5/2014,1,137
5/5/2014,2,254
5/5/2014,3,408
5/5/2014,4,638
5/5/2014,5,792
5/5/2014,6,1101
5/5/2014,7,973
5/5/2014,8,964
5/5/2014,9,1062
5/5/2014,10,880
5/5/2014,11,1009
5/5/2014,12,794
5/5/2014,13,868
5/5/2014,14,837
5/5/2014,15,966
5/5/2014,16,1017
5/5/2014,17,1041
5/5/2014,18,766
5/5/2014,19,405
5/5/2014,20,196
5/5/2014,21,97
5/5/2014,22,60
5/5/2014,23,56
5/6/2014,0,66
5/6/2014,1,161
5/6/2014,2,320
5/6/2014,3,451
5/6/2014,4,712
5/6/2014,5,940
5/6/2014,6,1048
5/6/2014,7,1115
5/6/2014,8,1022
5/6/2014,9,1051
5/6/2014,10,1065
5/6/2014,11,1006
5/6/2014,12,1041
5/6/2014,13,956
5/6/2014,14,929
5/6/2014,15,996
5/6/2014,16,996
5/6/2014,17,1033
5/6/2014,18,774
5/6/2014,19,484
5/6/2014,20,243
5/6/2014,21,108
5/6/2014,22,69
5/6/2014,23,46
5/7/2014,0,71
5/7/2014,1,170
5/7/2014,2,263
5/7/2014,3,421
5/7/2014,4,643
5/7/2014,5,889
5/7/2014,6,1082
5/7/2014,7,1045
5/7/2014,8,829
5/7/2014,9,1032
5/7/2014,10,1190
5/7/2014,11,1087
5/7/2014,12,1042
5/7/2014,13,917
5/7/2014,14,973
5/7/2014,15,928
5/7/2014,16,917
5/7/2014,17,968
5/7/2014,18,814
5/7/2014,19,397
5/7/2014,20,225
5/7/2014,21,116
5/7/2014,22,47
5/7/2014,23,52
5/8/2014,0,58
5/8/2014,1,176
5/8/2014,2,262
5/8/2014,3,443
5/8/2014,4,680
5/8/2014,5,984
5/8/2014,6,1152
5/8/2014,7,1141
5/8/2014,8,950
5/8/2014,9,1057
5/8/2014,10,1126
5/8/2014,11,925
5/8/2014,12,909
5/8/2014,13,965
5/8/2014,14,899
5/8/2014,15,836
5/8/2014,16,869
5/8/2014,17,843
5/8/2014,18,678
5/8/2014,19,338
5/8/2014,20,174
5/8/2014,21,90
5/8/2014,22,66
5/8/2014,23,46
5/9/2014,0,61
5/9/2014,1,100
5/9/2014,2,231
5/9/2014,3,330
5/9/2014,4,527
5/9/2014,5,615
5/9/2014,6,855
5/9/2014,7,872
5/9/2014,8,788
5/9/2014,9,849
5/9/2014,10,697
5/9/2014,11,908
5/9/2014,12,744
5/9/2014,13,770
5/9/2014,14,776
5/9/2014,15,696
5/9/2014,16,737
5/9/2014,17,777
5/9/2014,18,533
5/9/2014,19,352
5/9/2014,20,180
5/9/2014,21,100
5/9/2014,22,60
5/9/2014,23,43
5/10/2014,0,57
5/10/2014,1,116
5/10/2014,2,218
5/10/2014,3,343
5/10/2014,4,520
5/10/2014,5,742
5/10/2014,6,903
5/10/2014,7,986
5/10/2014,8,922
5/10/2014,9,949
5/10/2014,10,817
5/10/2014,11,834
5/10/2014,12,833
5/10/2014,13,688
5/10/2014,14,696
5/10/2014,15,708
5/10/2014,16,630
5/10/2014,17,627
5/10/2014,18,535
5/10/2014,19,374
5/10/2014,20,175
5/10/2014,21,101
5/10/2014,22,64
5/10/2014,23,22
5/11/2014,0,55
5/11/2014,1,97
5/11/2014,2,185
5/11/2014,3,308
5/11/2014,4,513
5/11/2014,5,696
5/11/2014,6,764
5/11/2014,7,858
5/11/2014,8,831
5/11/2014,9,738
5/11/2014,10,782
5/11/2014,11,721
5/11/2014,12,695
5/11/2014,13,702
5/11/2014,14,747
5/11/2014,15,670
5/11/2014,16,657
5/11/2014,17,760
5/11/2014,18,605
5/11/2014,19,399
5/11/2014,20,188
5/11/2014,21,85
5/11/2014,22,36
5/11/2014,23,25
5/12/2014,0,46
5/12/2014,1,122
5/12/2014,2,242
5/12/2014,3,345
5/12/2014,4,533
5/12/2014,5,743
5/12/2014,6,895
5/12/2014,7,1003
5/12/2014,8,991
5/12/2014,9,1011
5/12/2014,10,997
5/12/2014,11,983
5/12/2014,12,885
5/12/2014,13,823
5/12/2014,14,851
5/12/2014,15,816
5/12/2014,16,972
5/12/2014,17,921
5/12/2014,18,705
5/12/2014,19,384
5/12/2014,20,185
5/12/2014,21,113
5/12/2014,22,71
5/12/2014,23,47
5/13/2014,0,68
5/13/2014,1,127
5/13/2014,2,260
5/13/2014,3,414
5/13/2014,4,665
5/13/2014,5,813
5/13/2014,6,1022
5/13/2014,7,996
5/13/2014,8,876
5/13/2014,9,987
5/13/2014,10,938
5/13/2014,11,968
5/13/2014,12,815
5/13/2014,13,697
5/13/2014,14,837
5/13/2014,15,857
5/13/2014,16,835
5/13/2014,17,770
5/13/2014,18,599
5/13/2014,19,372
5/13/2014,20,192
5/13/2014,21,88
5/13/2014,22,48
5/13/2014,23,44
5/14/2014,0,61
5/14/2014,1,119
5/14/2014,2,233
5/14/2014,3,421
5/14/2014,4,619
5/14/2014,5,813
5/14/2014,6,976
5/14/2014,7,952
5/14/2014,8,853
5/14/2014,9,908
5/14/2014,10,851
5/14/2014,11,850
5/14/2014,12,686
5/14/2014,13,652
5/14/2014,14,672
5/14/2014,15,708
5/14/2014,16,179
5/14/2014,17,1
5/14/2014,18,6
5/14/2014,19,15
5/14/2014,20,110
5/14/2014,21,93
5/14/2014,22,50
5/14/2014,23,40
5/15/2014,0,53
5/15/2014,1,117
5/15/2014,2,238
5/15/2014,3,355
5/15/2014,4,537
5/15/2014,5,663
5/15/2014,6,830
5/15/2014,7,859
5/15/2014,8,896
5/15/2014,9,968
5/15/2014,10,918
5/15/2014,11,774
5/15/2014,12,705
5/15/2014,13,726
5/15/2014,14,694
5/15/2014,15,712
5/15/2014,16,780
5/15/2014,17,754
5/15/2014,18,566
5/15/2014,19,296
5/15/2014,20,188
5/15/2014,21,98
5/15/2014,22,44
5/15/2014,23,37
5/16/2014,0,55
5/16/2014,1,133
5/16/2014,2,229
5/16/2014,3,246
5/16/2014,4,334
5/16/2014,5,477
5/16/2014,6,572
5/16/2014,7,643
5/16/2014,8,568
5/16/2014,9,615
5/16/2014,10,694
5/16/2014,11,659
5/16/2014,12,628
5/16/2014,13,600
5/16/2014,14,623
5/16/2014,15,666
5/16/2014,16,633
5/16/2014,17,612
5/16/2014,18,490
5/16/2014,19,283
5/16/2014,20,152
5/16/2014,21,78
5/16/2014,22,53
5/16/2014,23,40
5/17/2014,0,55
5/17/2014,1,105
5/17/2014,2,196
5/17/2014,3,323
5/17/2014,4,541
5/17/2014,5,658
5/17/2014,6,776
5/17/2014,7,815
5/17/2014,8,793
5/17/2014,9,740
5/17/2014,10,752
5/17/2014,11,778
5/17/2014,12,696
5/17/2014,13,679
5/17/2014,14,704
5/17/2014,15,662
5/17/2014,16,676
5/17/2014,17,622
5/17/2014,18,455
5/17/2014,19,300
5/17/2014,20,169
5/17/2014,21,85
5/17/2014,22,61
5/17/2014,23,28
5/18/2014,0,44
5/18/2014,1,102
5/18/2014,2,222
5/18/2014,3,316
5/18/2014,4,465
5/18/2014,5,478
5/18/2014,6,593
5/18/2014,7,565
5/18/2014,8,676
5/18/2014,9,742
5/18/2014,10,707
5/18/2014,11,691
5/18/2014,12,712
5/18/2014,13,647
5/18/2014,14,735
5/18/2014,15,705
5/18/2014,16,757
5/18/2014,17,759
5/18/2014,18,522
5/18/2014,19,311
5/18/2014,20,132
5/18/2014,21,81
5/18/2014,22,40
5/18/2014,23,27
5/19/2014,0,45
5/19/2014,1,89
5/19/2014,2,226
5/19/2014,3,349
5/19/2014,4,535
5/19/2014,5,784
5/19/2014,6,909
5/19/2014,7,955
5/19/2014,8,926
5/19/2014,9,1020
5/19/2014,10,931
5/19/2014,11,874
5/19/2014,12,799
5/19/2014,13,709
5/19/2014,14,744
5/19/2014,15,726
5/19/2014,16,844
5/19/2014,17,815
5/19/2014,18,559
5/19/2014,19,318
5/19/2014,20,148
5/19/2014,21,94
5/19/2014,22,53
5/19/2014,23,36
5/20/2014,0,50
5/20/2014,1,125
5/20/2014,2,238
5/20/2014,3,364
5/20/2014,4,578
5/20/2014,5,742
5/20/2014,6,891
5/20/2014,7,900
5/20/2014,8,835
5/20/2014,9,886
5/20/2014,10,892
5/20/2014,11,849
5/20/2014,12,723
5/20/2014,13,720
5/20/2014,14,755
5/20/2014,15,695
5/20/2014,16,745
5/20/2014,17,719
5/20/2014,18,529
5/20/2014,19,320
5/20/2014,20,186
5/20/2014,21,89
5/20/2014,22,60
5/20/2014,23,47
5/21/2014,0,43
5/21/2014,1,133
5/21/2014,2,254
5/21/2014,3,363
5/21/2014,4,565
5/21/2014,5,638
5/21/2014,6,797
5/21/2014,7,889
5/21/2014,8,770
5/21/2014,9,854
5/21/2014,10,831
5/21/2014,11,846
5/21/2014,12,828
5/21/2014,13,636
5/21/2014,14,700
5/21/2014,15,712
5/21/2014,16,714
5/21/2014,17,695
5/21/2014,18,488
5/21/2014,19,287
5/21/2014,20,163
5/21/2014,21,98
5/21/2014,22,50
5/21/2014,23,20
5/22/2014,0,41
5/22/2014,1,100
5/22/2014,2,250
5/22/2014,3,368
5/22/2014,4,558
5/22/2014,5,695
5/22/2014,6,769
5/22/2014,7,758
5/22/2014,8,694
5/22/2014,9,752
5/22/2014,10,754
5/22/2014,11,761
5/22/2014,12,661
5/22/2014,13,589
5/22/2014,14,590
5/22/2014,15,647
5/22/2014,16,674
5/22/2014,17,623
5/22/2014,18,480
5/22/2014,19,305
5/22/2014,20,163
5/22/2014,21,85
5/22/2014,22,41
5/22/2014,23,39
5/23/2014,0,50
5/23/2014,1,109
5/23/2014,2,216
5/23/2014,3,303
5/23/2014,4,467
5/23/2014,5,628
5/23/2014,6,724
5/23/2014,7,802
5/23/2014,8,725
5/23/2014,9,710
5/23/2014,10,682
5/23/2014,11,728
5/23/2014,12,699
5/23/2014,13,657
5/23/2014,14,614
5/23/2014,15,600
5/23/2014,16,638
5/23/2014,17,560
5/23/2014,18,487
5/23/2014,19,301
5/23/2014,20,133
5/23/2014,21,82
5/23/2014,22,47
5/23/2014,23,39
5/24/2014,0,30
5/24/2014,1,120
5/24/2014,2,218
5/24/2014,3,314
5/24/2014,4,458
5/24/2014,5,574
5/24/2014,6,675
5/24/2014,7,742
5/24/2014,8,745
5/24/2014,9,728
5/24/2014,10,671
5/24/2014,11,696
5/24/2014,12,607
5/24/2014,13,610
5/24/2014,14,614
5/24/2014,15,630
5/24/2014,16,572
5/24/2014,17,586
5/24/2014,18,426
5/24/2014,19,316
5/24/2014,20,160
5/24/2014,21,101
5/24/2014,22,46
5/24/2014,23,39
5/25/2014,0,52
5/25/2014,1,88
5/25/2014,2,172
5/25/2014,3,251
5/25/2014,4,407
5/25/2014,5,566
5/25/2014,6,795
5/25/2014,7,864
5/25/2014,8,712
5/25/2014,9,677
5/25/2014,10,558
5/25/2014,11,552
5/25/2014,12,523
5/25/2014,13,554
5/25/2014,14,636
5/25/2014,15,671
5/25/2014,16,674
5/25/2014,17,599
5/25/2014,18,480
5/25/2014,19,307
5/25/2014,20,137
5/25/2014,21,59
5/25/2014,22,26
5/25/2014,23,23
5/26/2014,0,46
5/26/2014,1,100
5/26/2014,2,181
5/26/2014,3,295
5/26/2014,4,492
5/26/2014,5,714
5/26/2014,6,816
5/26/2014,7,830
5/26/2014,8,832
5/26/2014,9,910
5/26/2014,10,938
5/26/2014,11,850
5/26/2014,12,796
5/26/2014,13,680
5/26/2014,14,709
5/26/2014,15,712
5/26/2014,16,805
5/26/2014,17,750
5/26/2014,18,551
5/26/2014,19,289
5/26/2014,20,148
5/26/2014,21,86
5/26/2014,22,51
5/26/2014,23,25
5/27/2014,0,67
5/27/2014,1,102
5/27/2014,2,216
5/27/2014,3,365
5/27/2014,4,587
5/27/2014,5,769
5/27/2014,6,889
5/27/2014,7,872
5/27/2014,8,811
5/27/2014,9,848
5/27/2014,10,898
5/27/2014,11,853
5/27/2014,12,740
5/27/2014,13,747
5/27/2014,14,747
5/27/2014,15,684
5/27/2014,16,781
5/27/2014,17,740
5/27/2014,18,563
5/27/2014,19,348
5/27/2014,20,173
5/27/2014,21,71
5/27/2014,22,32
5/27/2014,23,28
5/28/2014,0,53
5/28/2014,1,112
5/28/2014,2,180
5/28/2014,3,271
5/28/2014,4,446
5/28/2014,5,604
5/28/2014,6,766
5/28/2014,7,647
5/28/2014,8,759
5/28/2014,9,929
5/28/2014,10,877
5/28/2014,11,818
5/28/2014,12,691
5/28/2014,13,689
5/28/2014,14,732
5/28/2014,15,736
5/28/2014,16,752
5/28/2014,17,734
5/28/2014,18,498
5/28/2014,19,347
5/28/2014,20,188
5/28/2014,21,98
5/28/2014,22,57
5/28/2014,23,30
5/29/2014,0,61
5/29/2014,1,125
5/29/2014,2,223
5/29/2014,3,357
5/29/2014,4,601
5/29/2014,5,857
5/29/2014,6,915
5/29/2014,7,940
5/29/2014,8,873
5/29/2014,9,864
5/29/2014,10,886
5/29/2014,11,827
5/29/2014,12,768
5/29/2014,13,632
5/29/2014,14,580
5/29/2014,15,776
5/29/2014,16,789
5/29/2014,17,779
5/29/2014,18,557
5/29/2014,19,315
5/29/2014,20,166
5/29/2014,21,97
5/29/2014,22,48
5/29/2014,23,39
5/30/2014,0,44
5/30/2014,1,134
5/30/2014,2,211
5/30/2014,3,313
5/30/2014,4,495
5/30/2014,5,732
5/30/2014,6,868
5/30/2014,7,847
5/30/2014,8,791
5/30/2014,9,861
5/30/2014,10,897
5/30/2014,11,839
5/30/2014,12,764
5/30/2014,13,668
5/30/2014,14,691
5/30/2014,15,609
5/30/2014,16,644
5/30/2014,17,627
5/30/2014,18,499
5/30/2014,19,334
5/30/2014,20,209
5/30/2014,21,92
5/30/2014,22,54
5/30/2014,23,32
5/31/2014,0,54
5/31/2014,1,129
5/31/2014,2,201
5/31/2014,3,341
5/31/2014,4,499
5/31/2014,5,644
5/31/2014,6,859
5/31/2014,7,778
5/31/2014,8,771
5/31/2014,9,803
5/31/2014,10,765
5/31/2014,11,752
5/31/2014,12,705
5/31/2014,13,647
5/31/2014,14,661
5/31/2014,15,666
5/31/2014,16,649
5/31/2014,17,580
5/31/2014,18,552
5/31/2014,19,317
5/31/2014,20,219
5/31/2014,21,94
5/31/2014,22,44
5/31/2014,23,29
6/1/2014,0,36
6/1/2014,1,103
6/1/2014,2,165
6/1/2014,3,339
6/1/2014,4,440
6/1/2014,5,663
6/1/2014,6,762
6/1/2014,7,834
6/1/2014,8,759
6/1/2014,9,740
6/1/2014,10,733
6/1/2014,11,693
6/1/2014,12,691
6/1/2014,13,731
6/1/2014,14,709
6/1/2014,15,675
6/1/2014,16,673
6/1/2014,17,741
6/1/2014,18,531
6/1/2014,19,348
6/1/2014,20,197
6/1/2014,21,86
6/1/2014,22,43
6/1/2014,23,43
6/2/2014,0,55
6/2/2014,1,100
6/2/2014,2,206
6/2/2014,3,337
6/2/2014,4,450
6/2/2014,5,663
6/2/2014,6,904
6/2/2014,7,842
6/2/2014,8,840
6/2/2014,9,938
6/2/2014,10,964
6/2/2014,11,987
6/2/2014,12,847
6/2/2014,13,785
6/2/2014,14,804
6/2/2014,15,861
6/2/2014,16,814
6/2/2014,17,798
6/2/2014,18,552
6/2/2014,19,312
6/2/2014,20,153
6/2/2014,21,89
6/2/2014,22,50
6/2/2014,23,30
6/3/2014,0,44
6/3/2014,1,114
6/3/2014,2,237
6/3/2014,3,342
6/3/2014,4,509
6/3/2014,5,742
6/3/2014,6,856
6/3/2014,7,957
6/3/2014,8,918
6/3/2014,9,981
6/3/2014,10,1014
6/3/2014,11,925
6/3/2014,12,879
6/3/2014,13,836
6/3/2014,14,780
6/3/2014,15,779
6/3/2014,16,746
6/3/2014,17,781
6/3/2014,18,625
6/3/2014,19,308
6/3/2014,20,151
6/3/2014,21,78
6/3/2014,22,52
6/3/2014,23,53
6/4/2014,0,57
6/4/2014,1,109
6/4/2014,2,291
6/4/2014,3,405
6/4/2014,4,569
6/4/2014,5,769
6/4/2014,6,908
6/4/2014,7,887
6/4/2014,8,965
6/4/2014,9,994
6/4/2014,10,1010
6/4/2014,11,889
6/4/2014,12,849
6/4/2014,13,777
6/4/2014,14,854
6/4/2014,15,801
6/4/2014,16,959
6/4/2014,17,870
6/4/2014,18,664
6/4/2014,19,346
6/4/2014,20,205
6/4/2014,21,92
6/4/2014,22,71
6/4/2014,23,46
6/5/2014,0,56
6/5/2014,1,142
6/5/2014,2,260
6/5/2014,3,382
6/5/2014,4,555
6/5/2014,5,785
6/5/2014,6,959
6/5/2014,7,1006
6/5/2014,8,979
6/5/2014,9,951
6/5/2014,10,1019
6/5/2014,11,1001
6/5/2014,12,869
6/5/2014,13,740
6/5/2014,14,806
6/5/2014,15,789
6/5/2014,16,846
6/5/2014,17,829
6/5/2014,18,671
6/5/2014,19,365
6/5/2014,20,169
6/5/2014,21,95
6/5/2014,22,43
6/5/2014,23,52
6/6/2014,0,73
6/6/2014,1,130
6/6/2014,2,259
6/6/2014,3,382
6/6/2014,4,554
6/6/2014,5,821
6/6/2014,6,912
6/6/2014,7,899
6/6/2014,8,879
6/6/2014,9,908
6/6/2014,10,935
6/6/2014,11,921
6/6/2014,12,816
6/6/2014,13,722
6/6/2014,14,716
6/6/2014,15,778
6/6/2014,16,793
6/6/2014,17,733
6/6/2014,18,568
6/6/2014,19,360
6/6/2014,20,214
6/6/2014,21,86
6/6/2014,22,62
6/6/2014,23,44
6/7/2014,0,45
6/7/2014,1,99
6/7/2014,2,239
6/7/2014,3,376
6/7/2014,4,604
6/7/2014,5,733
6/7/2014,6,821
6/7/2014,7,932
6/7/2014,8,916
6/7/2014,9,803
6/7/2014,10,890
6/7/2014,11,875
6/7/2014,12,799
6/7/2014,13,770
6/7/2014,14,697
6/7/2014,15,718
6/7/2014,16,750
6/7/2014,17,689
6/7/2014,18,570
6/7/2014,19,381
6/7/2014,20,184
6/7/2014,21,103
6/7/2014,22,75
6/7/2014,23,26
6/8/2014,0,47
6/8/2014,1,111
6/8/2014,2,190
6/8/2014,3,355
6/8/2014,4,543
6/8/2014,5,657
6/8/2014,6,928
6/8/2014,7,881
6/8/2014,8,858
6/8/2014,9,788
6/8/2014,10,776
6/8/2014,11,788
6/8/2014,12,780
6/8/2014,13,705
6/8/2014,14,746
6/8/2014,15,835
6/8/2014,16,781
6/8/2014,17,802
6/8/2014,18,641
6/8/2014,19,366
6/8/2014,20,200
6/8/2014,21,108
6/8/2014,22,49
6/8/2014,23,42
6/9/2014,0,53
6/9/2014,1,108
6/9/2014,2,233
6/9/2014,3,389
6/9/2014,4,550
6/9/2014,5,843
6/9/2014,6,853
6/9/2014,7,1024
6/9/2014,8,1006
6/9/2014,9,1079
6/9/2014,10,1127
6/9/2014,11,1018
6/9/2014,12,949
6/9/2014,13,937
6/9/2014,14,858
6/9/2014,15,887
6/9/2014,16,949
6/9/2014,17,941
6/9/2014,18,677
6/9/2014,19,309
6/9/2014,20,166
6/9/2014,21,81
6/9/2014,22,54
6/9/2014,23,46
6/10/2014,0,53
6/10/2014,1,118
6/10/2014,2,253
6/10/2014,3,409
6/10/2014,4,593
6/10/2014,5,847
6/10/2014,6,939
6/10/2014,7,956
6/10/2014,8,1021
6/10/2014,9,951
6/10/2014,10,1032
6/10/2014,11,1035
6/10/2014,12,885
6/10/2014,13,832
6/10/2014,14,792
6/10/2014,15,821
6/10/2014,16,876
6/10/2014,17,912
6/10/2014,18,612
6/10/2014,19,363
6/10/2014,20,164
6/10/2014,21,115
6/10/2014,22,63
6/10/2014,23,43
6/11/2014,0,75
6/11/2014,1,120
6/11/2014,2,286
6/11/2014,3,398
6/11/2014,4,575
6/11/2014,5,783
6/11/2014,6,1011
6/11/2014,7,1123
6/11/2014,8,954
6/11/2014,9,1013
6/11/2014,10,1075
6/11/2014,11,1057
6/11/2014,12,974
6/11/2014,13,796
6/11/2014,14,837
6/11/2014,15,846
6/11/2014,16,828
6/11/2014,17,892
6/11/2014,18,661
6/11/2014,19,360
6/11/2014,20,227
6/11/2014,21,100
6/11/2014,22,58
6/11/2014,23,50
6/12/2014,0,58
6/12/2014,1,144
6/12/2014,2,286
6/12/2014,3,378
6/12/2014,4,592
6/12/2014,5,883
6/12/2014,6,953
6/12/2014,7,1010
6/12/2014,8,959
6/12/2014,9,1115
6/12/2014,10,1027
6/12/2014,11,1027
6/12/2014,12,957
6/12/2014,13,861
6/12/2014,14,805
6/12/2014,15,889
6/12/2014,16,902
6/12/2014,17,911
6/12/2014,18,625
6/12/2014,19,365
6/12/2014,20,158
6/12/2014,21,91
6/12/2014,22,39
6/12/2014,23,31
6/13/2014,0,52
6/13/2014,1,110
6/13/2014,2,164
6/13/2014,3,277
6/13/2014,4,470
6/13/2014,5,638
6/13/2014,6,798
6/13/2014,7,1024
6/13/2014,8,952
6/13/2014,9,871
6/13/2014,10,1014
6/13/2014,11,907
6/13/2014,12,876
6/13/2014,13,784
6/13/2014,14,755
6/13/2014,15,772
6/13/2014,16,774
6/13/2014,17,800
6/13/2014,18,585
6/13/2014,19,365
6/13/2014,20,199
6/13/2014,21,90
6/13/2014,22,50
6/13/2014,23,54
6/14/2014,0,47
6/14/2014,1,114
6/14/2014,2,236
6/14/2014,3,363
6/14/2014,4,552
6/14/2014,5,717
6/14/2014,6,961
6/14/2014,7,1027
6/14/2014,8,977
6/14/2014,9,906
6/14/2014,10,911
6/14/2014,11,950
6/14/2014,12,870
6/14/2014,13,727
6/14/2014,14,807
6/14/2014,15,788
6/14/2014,16,834
6/14/2014,17,854
6/14/2014,18,632
6/14/2014,19,382
6/14/2014,20,238
6/14/2014,21,149
6/14/2014,22,56
6/14/2014,23,39
6/15/2014,0,52
6/15/2014,1,87
6/15/2014,2,189
6/15/2014,3,372
6/15/2014,4,533
6/15/2014,5,705
6/15/2014,6,926
6/15/2014,7,984
6/15/2014,8,937
6/15/2014,9,822
6/15/2014,10,892
6/15/2014,11,783
6/15/2014,12,811
6/15/2014,13,836
6/15/2014,14,915
6/15/2014,15,882
6/15/2014,16,953
6/15/2014,17,904
6/15/2014,18,629
6/15/2014,19,341
6/15/2014,20,170
6/15/2014,21,89
6/15/2014,22,52
6/15/2014,23,32
6/16/2014,0,54
6/16/2014,1,114
6/16/2014,2,251
6/16/2014,3,375
6/16/2014,4,644
